"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"ICONHA",0,0,0,0,0,0,0,0,0,4,14016,"ES"
"IGARAPE",0,0,0,0,0,0,0,0,0,1,41127,"MG"
"IGUATU",0,0,0,0,0,0,0,0,0,4,102614,"CE"
"ILHA GRANDE",0,0,0,0,0,0,0,0,0,2,9268,"PI"
"ILHOTA",0,0,0,0,0,0,0,0,0,1,13857,"SC"
"IMPERATRIZ",0,0,0,0,0,0,0,0,0,2,254569,"MA"
"INDEPENDENCIA",0,0,0,0,0,0,0,0,0,3,25967,"CE"
"IPAMERI",0,0,0,0,0,0,0,0,0,2,26747,"GO"
"IPAPORANGA",0,0,0,0,0,0,0,0,0,5,11499,"CE"
"IPAUMIRIM",0,0,0,0,0,0,0,0,0,2,12349,"CE"
"IPIACU",0,0,0,0,0,0,0,0,0,2,4285,"MG"
"IPIRANGA",0,0,0,0,0,0,0,0,0,13,15139,"PR"
"IPOJUCA",0,0,0,0,0,0,0,0,0,5,94533,"PE"
"IPU",0,0,0,0,0,0,0,0,0,3,41576,"CE"
"IPUEIRAS",0,0,0,0,0,0,0,0,0,2,1955,"TO"
"IRACEMA",0,0,0,0,0,0,0,0,0,7,10859,"RR"
"IRANDUBA",0,0,0,0,0,0,0,0,0,2,47407,"AM"
"IRATI",0,0,0,0,0,0,0,0,0,10,60425,"PR"
"IRAUCUBA",0,0,0,0,0,0,0,0,0,3,23858,"CE"
"ITABAIANA",0,0,0,0,0,0,0,0,0,2,24475,"PB"
"ITABERAI",0,0,0,0,0,0,0,0,0,2,40872,"GO"
"ITABIRA",0,0,0,0,0,0,0,0,0,3,119285,"MG"
"ITABIRITO",0,0,0,0,0,0,0,0,0,96,50816,"MG"
"ITACOATIARA",0,0,0,0,0,0,0,0,0,1,99854,"AM"
"ITAICABA",0,0,0,0,0,0,0,0,0,2,7738,"CE"
"ITAINOPOLIS",0,0,0,0,0,0,0,0,0,1,11343,"PI"
"ITAITINGA",0,0,0,0,0,0,0,0,0,5,39310,"CE"
"ITAJAI",0,0,0,0,0,0,0,0,0,1,212615,"SC"
"ITAPAGE",0,0,0,0,0,0,0,0,0,4,,
"ITAPECURU MIRIM",0,0,0,0,0,0,0,0,0,110,67726,"MA"
"ITAPEMA",0,0,0,0,0,0,0,0,0,4,61187,"SC"
"ITAPIPOCA",0,0,0,0,0,0,0,0,0,5,127465,"CE"
"ITAPIUNA",0,0,0,0,0,0,0,0,0,5,20014,"CE"
"ITAPORANGA D'AJUDA",0,0,0,0,0,0,0,0,0,1,34101,"SE"
"ITAPOROROCA",0,0,0,0,0,0,0,0,0,3,18715,"PB"
"ITAREMA",0,0,0,0,0,0,0,0,0,5,41230,"CE"
"ITATIRA",0,0,0,0,0,0,0,0,0,3,20675,"CE"
"ITAUEIRA",0,0,0,0,0,0,0,0,0,4,10845,"PI"
"ITAUNA",0,0,0,0,0,0,0,0,0,1,92696,"MG"
"ITUIUTABA",0,0,0,0,0,0,0,0,0,3,104526,"MG"
"ITUMBIARA",0,0,0,0,0,0,0,0,0,6,102513,"GO"
"ITUPEVA",0,2,0,1,14,28,10,0,55,173,57031,"SP"
"ITUPORANGA",0,0,0,0,0,0,0,0,0,2,24622,"SC"
"IVAI",0,0,0,0,0,0,0,0,0,14,13797,"PR"
"IVORA",0,0,0,0,0,0,0,0,0,2,2104,"RS"
"JACIARA",0,0,0,0,0,0,0,0,0,3,26633,"MT"
"JAGUAQUARA",0,0,0,0,0,0,0,0,0,3,56033,"BA"
"JAGUARAO",0,0,0,0,0,0,0,0,0,6,28156,"RS"
"JAGUARE",0,0,0,0,0,0,0,0,0,2,29642,"ES"
"JAGUARETAMA",0,0,0,0,0,0,0,0,0,4,17958,"CE"
"JAGUARIBARA",0,0,0,0,0,0,0,0,0,4,11295,"CE"
"JAGUARIBE",0,0,0,0,0,0,0,0,0,5,34448,"CE"
