"NOME_MUNICIPIO",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"BRACO DO NORTE",0,0,0,0,6,0,0,0,6,6,32648,"SC"
"BRACO DO TROMBUDO",0,0,0,7,0,1,3,1,12,26,3709,"SC"
"BRAGA",0,0,0,0,0,0,0,0,0,3,3647,"RS"
"BRAGANCA PAULISTA",0,0,0,0,0,0,0,0,0,5,164163,"SP"
"BRAGANEY",0,0,0,0,0,0,0,0,0,15,5687,"PR"
"BRASILANDIA",0,0,3,8,0,0,0,0,11,11,11864,"MS"
"BRASILANDIA DO SUL",0,0,0,0,0,0,0,0,0,7,2943,"PR"
"BRASILANDIA DO TOCANTINS",0,0,0,0,0,0,0,0,0,10,2199,"TO"
"BRAUNA",0,0,0,0,0,0,0,10,10,35,5557,"SP"
"BRAZABRANTES",0,0,0,0,0,0,0,4,4,4,3604,"GO"
"BREJINHO DE NAZARE",0,0,0,0,0,0,0,0,0,4,5499,"TO"
"BREJO ALEGRE",0,0,0,0,0,0,5,2,7,7,2812,"SP"
"BREJOES",0,0,0,2,0,0,0,0,2,2,15122,"BA"
"BRITANIA",0,0,0,0,0,0,0,0,0,3,5817,"GO"
"BRODOWSKI",0,0,0,0,0,0,4,0,4,18,24092,"SP"
"BROTAS",0,0,0,0,4,4,0,0,8,10,23858,"SP"
"BROTAS DE MACAUBAS",0,0,0,3,0,0,0,0,3,3,10974,"BA"
"BRUMADO",0,0,0,12,0,0,0,0,12,12,69677,"BA"
"BRUSQUE",0,0,0,0,1,11,14,0,26,60,128818,"SC"
"BURI",0,0,0,0,0,0,12,2,14,16,19737,"SP"
"BURITAMA",0,0,0,0,0,0,1,32,33,112,16841,"SP"
"BURITI ALEGRE",0,0,0,0,0,0,1,0,1,8,9535,"GO"
"BURITI DO TOCANTINS",0,0,0,0,0,0,0,0,0,12,11135,"TO"
"BURITIZAL",0,0,0,0,0,0,0,0,0,7,4408,"SP"
"BURITIZEIRO",0,2,0,0,1,0,0,0,3,9,28335,"MG"
"CAARAPO",0,0,0,0,0,0,0,0,0,39,29292,"MS"
"CAATIBA",0,0,0,2,0,0,0,0,2,2,7841,"BA"
"CABACEIRAS DO PARAGUACU",0,0,0,12,0,0,0,0,12,12,19312,"BA"
"CABECEIRAS",0,0,0,0,0,0,0,2,2,2,7935,"GO"
"CABO FRIO",0,0,0,0,0,0,4,0,4,4,216030,"RJ"
"CABRALIA PAULISTA",0,0,0,0,0,0,0,1,1,3,4352,"SP"
"CABREUVA",0,0,0,0,0,0,1,0,1,19,47877,"SP"
"CACADOR",0,0,0,0,4,0,0,2,6,16,77323,"SC"
"CACAPAVA",0,1,0,0,1,0,40,20,62,105,92587,"SP"
"CACAPAVA DO SUL",0,0,0,0,0,0,0,0,0,4,34634,"RS"
"CACEQUI",0,0,0,0,0,0,0,0,0,5,13552,"RS"
"CACERES",0,0,0,0,0,0,3,0,3,3,91271,"MT"
"CACHOEIRA",0,0,0,16,0,0,0,0,16,16,35139,"BA"
"CACHOEIRA ALTA",0,0,0,0,0,0,0,6,6,17,12002,"GO"
"CACHOEIRA DO SUL",0,0,0,0,0,0,0,0,0,1,85495,"RS"
"CACHOEIRA DOURADA",0,0,0,0,0,0,0,0,0,8,2691,"MG"
"CACHOEIRO DE ITAPEMIRIM",0,0,0,0,0,0,1,0,1,18,211649,"ES"
"CACONDE",0,4,0,0,10,0,2,2,18,18,19025,"SP"
