"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","UF","Population","How many different pesticides over or equal to the limit?"
"ITAPE",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,2,0,0,0,0,0,0,3,2,0,"BA",9830,6
"ITAPORA",0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,"MS",23539,6
"MAMBORE",0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"PR",13798,6
"PEDERNEIRAS",0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,"SP",45708,6
"PORTO SEGURO",0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,1,0,8,0,0,0,0,0,0,11,8,0,"BA",149324,6
"RIBAS DO RIO PARDO",0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,"MS",23881,6
"RIO BRILHANTE",0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,"MS",36144,6
"SANTA RITA DO PARDO",0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,"MS",7732,6
"SAO JOSE DOS CAMPOS",3,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"SP",703219,6
"VARZEA NOVA",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,1,0,0,0,0,3,1,0,"BA",13454,6
"ABARE",0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,0,5,4,0,"BA",20189,5
"AGUA FRIA",0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0,0,0,0,0,0,5,3,0,"BA",17508,5
"AIQUARA",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,3,2,0,"BA",4725,5
"ALCOBACA",0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,4,0,0,0,0,0,0,6,4,0,"BA",23376,5
"AMARGOSA",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",38259,5
"AMELIA RODRIGUES",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",26409,5
"ANAGE",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",19568,5
"ANDARAI",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,3,2,0,"BA",13737,5
"ANGICAL",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,3,2,0,"BA",14690,5
"ANTAS",0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,5,0,0,0,0,0,0,7,5,0,"BA",19569,5
"ANTONIO GONCALVES",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,3,2,0,"BA",12072,5
"APUAREMA",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",7730,5
"ARACATU",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",13962,5
"ARAMARI",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",11703,5
"ARARAS",1,0,0,0,0,0,0,0,40,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,"SP",131282,5
"ARATACA",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,"BA",11661,5
"ARATUIPE",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,3,2,0,"BA",9171,5
