"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"LINDOIA DO SUL",4,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,0,0,3,4615,"SC",25
"LUCIANOPOLIS",1,6,6,6,7,2,1,1,3,6,6,2,7,2,1,2,1,3,2,1,1,7,1,7,0,0,7,2381,"SP",25
"MATUPA",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,15870,"MT",25
"MIRIM DOCE",6,4,5,4,4,6,6,6,4,4,3,4,4,4,2,1,4,4,4,4,4,4,6,4,0,0,4,2374,"SC",25
"MODELO",11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,11,11,11,11,11,11,11,2,0,0,11,4192,"SC",25
"MOGI MIRIM",40,42,44,42,39,40,38,40,42,42,38,0,38,16,16,19,38,38,26,35,36,23,24,42,0,8,39,92365,"SP",25
"MONTE CASTELO",3,19,20,19,18,5,3,3,18,19,2,2,2,3,3,3,18,12,8,2,2,2,3,13,0,0,3,4190,"SP",25
"MORRO DA FUMACA",6,4,4,4,4,6,6,6,4,4,4,4,4,4,2,1,4,4,4,4,4,4,6,2,0,0,4,17532,"SC",25
"NOVA TRENTO",2,4,3,4,4,2,2,2,2,2,4,2,4,2,2,0,4,4,4,4,4,4,2,3,0,2,4,14099,"SC",25
"PETROLANDIA",4,3,4,2,2,2,2,4,2,2,3,3,3,2,2,3,2,2,2,2,2,3,2,2,0,0,2,36108,"PE",25
"POMPEIA",1,6,7,7,7,1,1,1,6,7,6,1,7,1,1,1,7,1,7,0,1,7,1,6,0,1,7,21674,"SP",25
"PRESIDENTE CASTELLO BRANCO",2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,0,0,2,1610,"SC",25
"REGINOPOLIS",3,2,2,2,2,2,3,4,2,2,2,0,2,1,2,1,2,3,3,3,4,2,4,3,0,1,2,9042,"SP",25
"RIO DE JANEIRO",9,17,17,19,17,9,8,17,19,19,9,2,16,1,9,9,19,17,17,9,16,9,0,17,0,9,17,6520266,"RJ",25
"RIO DO CAMPO",9,8,8,8,8,9,9,9,8,8,8,8,8,8,6,2,8,8,8,8,8,8,8,5,0,0,8,6043,"SC",25
"RIO DO SUL",6,5,6,5,5,6,6,6,5,5,5,5,5,5,5,2,5,5,5,5,5,5,6,5,0,0,5,69188,"SC",25
"RIO NEGRINHO",25,31,36,29,30,24,24,24,27,31,30,24,30,24,30,0,30,30,30,30,29,30,23,35,0,24,30,42029,"SC",25
"SANTA CLARA D'OESTE",4,8,10,8,10,3,4,5,7,8,8,2,10,4,3,4,5,8,7,4,4,10,3,10,0,0,10,2134,"SP",25
"SANTA HELENA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,41891,"MA",25
"SANTA TEREZINHA",4,3,4,3,3,4,4,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,4,3,0,0,3,11734,"PE",25
"SANTO ANDRE",15,6,15,6,3,4,3,6,6,6,4,1,3,8,14,5,3,6,1,6,5,2,5,4,0,0,6,2519,"PB",25
"SANTO ANTONIO DO ARACANGUA",6,21,20,21,21,10,11,7,21,21,6,0,6,3,5,4,19,21,9,6,9,10,9,18,1,0,9,8285,"SP",25
"SAO LUDGERO",3,5,10,5,5,3,3,3,3,5,5,3,5,3,3,0,5,5,5,5,5,5,2,5,0,3,5,12934,"SC",25
"SARUTAIA",1,3,9,4,9,4,4,5,6,2,6,1,8,0,0,4,2,7,9,4,5,10,4,8,1,1,10,3681,"SP",25
"SIRIRI",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,8851,"SE",25
"SORRISO",12,12,16,12,12,12,0,12,16,12,16,12,15,12,16,12,12,16,16,12,25,12,1,16,0,12,12,85223,"MT",25
"TIMBE DO SUL",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,0,9,9,5377,"SC",25
"TRES PONTAS",22,12,18,8,8,21,21,21,8,8,8,1,8,12,10,0,8,16,8,8,16,16,8,13,0,4,8,57097,"MG",25
"TROMBUDO CENTRAL",1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,0,0,1,7211,"SC",25
"TUBARAO",2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,104457,"SC",25
"TURVO",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,13640,"PR",25
"UNAI",7,7,24,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,83980,"MG",25
"VISTA ALEGRE DO ALTO",5,7,9,10,11,4,4,2,7,11,7,6,10,10,11,4,11,11,11,0,10,10,2,7,0,4,11,8335,"SP",25
"AGUANIL",3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,4440,"MG",24
"AGUAS DE SANTA BARBARA",2,4,9,3,6,2,2,2,8,4,8,0,7,2,2,2,1,5,5,2,2,6,2,6,0,0,7,6009,"SP",24
"ALBERTINA",3,3,3,3,3,3,3,3,3,3,3,0,3,1,1,1,3,3,2,3,3,2,1,3,0,0,3,3046,"MG",24
"ALVARES FLORENCE",15,18,18,18,16,15,15,15,18,18,15,0,15,15,15,15,15,15,15,15,15,3,15,18,0,0,18,3795,"SP",24
"ALVINLANDIA",4,6,6,6,6,4,4,4,2,4,2,0,6,4,4,4,4,6,6,4,4,4,4,6,0,0,6,3196,"SP",24
"ASTORGA",5,18,16,15,17,22,22,4,15,19,18,0,17,0,3,3,17,1,17,1,18,17,3,17,0,2,16,26196,"PR",24
"BARRA BONITA",4,1,4,1,2,1,4,1,4,1,3,1,1,4,0,3,2,4,4,2,2,1,2,0,1,0,1,36331,"SP",24
"BOA ESPERANCA",4,3,4,2,3,4,4,4,3,3,3,0,2,3,1,0,3,4,2,3,4,4,3,3,0,1,3,40530,"MG",24
"CACERES",3,3,3,3,2,3,0,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,0,3,0,3,2,91271,"MT",24
"CAMPINA GRANDE DO SUL",2,14,15,4,12,16,1,2,4,15,15,0,4,0,1,1,13,13,14,13,13,13,1,15,1,0,14,42547,"PR",24
"CAMPO VERDE",2,3,3,3,3,2,0,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,0,3,0,2,3,39933,"MT",24
"CAPELA DO ALTO",6,9,13,9,14,6,6,6,12,9,12,0,13,6,5,6,4,11,12,6,6,14,6,14,0,0,14,20005,"SP",24
"CAPINZAL",2,2,3,3,3,2,0,2,4,3,3,2,2,2,2,2,2,2,2,2,2,3,0,4,0,2,3,22524,"SC",24
"CARAGUATATUBA",12,4,7,5,6,12,12,12,5,4,5,0,6,12,13,12,4,6,6,6,6,6,12,6,0,0,7,116786,"SP",24
"CERQUEIRA CESAR",11,10,11,5,10,11,11,18,11,10,7,0,11,17,18,18,5,19,17,18,19,0,18,18,0,7,10,19495,"SP",24
"CESARIO LANGE",1,15,26,12,28,1,1,1,26,15,25,0,28,3,1,2,5,13,14,1,2,28,1,28,0,0,28,17587,"SP",24
"CLAUDIA",8,8,12,8,8,8,0,8,8,8,12,8,8,8,8,8,8,12,8,12,8,8,0,8,0,8,8,11716,"MT",24
"CONFRESA",5,5,2,1,1,1,0,5,6,5,6,5,5,5,5,1,1,2,1,2,1,1,0,5,0,5,1,29471,"MT",24
"COQUEIRAL",5,3,6,3,3,4,5,5,3,3,3,0,3,5,6,5,3,3,3,3,3,2,5,7,0,0,3,9432,"MG",24
"CUNHATAI",4,2,3,2,2,5,5,5,2,2,2,2,2,2,2,0,2,2,2,2,2,2,5,3,0,0,2,1955,"SC",24
"DIONISIO CERQUEIRA",2,1,1,1,1,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,0,1,15450,"SC",24
"FERNANDOPOLIS",2,7,11,6,12,3,3,3,10,7,10,0,12,2,3,3,2,6,6,3,3,12,3,12,0,0,11,68670,"SP",24
"IBITURUNA",8,8,8,8,8,8,3,8,8,8,8,0,8,5,8,7,8,8,8,8,8,7,7,8,0,0,7,3018,"MG",24
"IGARATA",5,16,17,16,17,9,11,11,12,16,17,0,17,0,7,1,9,7,7,5,11,18,6,13,0,3,13,9443,"SP",24
"IOMERE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,2917,"SC",24
"IRACEMINHA",7,4,5,4,4,7,7,7,4,3,3,4,4,4,1,0,4,4,4,4,4,4,7,4,0,0,4,4067,"SC",24
"ITAIOPOLIS",12,9,9,9,9,12,12,12,9,9,9,9,9,8,0,1,9,9,9,9,9,9,12,1,0,0,9,21506,"SC",24
"ITATIBA",6,7,8,7,9,4,6,6,7,7,6,0,9,4,6,4,6,4,4,4,6,9,4,4,0,0,7,116503,"SP",24
"ITATINGA",3,8,8,7,10,3,3,3,10,8,10,0,10,4,3,4,3,6,6,3,3,10,3,11,0,0,10,20158,"SP",24
"ITUVERAVA",2,2,2,2,2,2,2,1,2,2,2,0,2,1,2,0,2,2,2,2,2,2,2,2,0,1,2,41414,"SP",24
"JALES",1,2,5,2,6,1,1,1,5,2,5,0,7,1,1,1,1,4,4,1,1,7,1,7,0,0,7,49110,"SP",24
"JOANOPOLIS",1,9,11,8,13,2,2,1,16,9,15,0,14,4,1,4,3,8,8,2,2,14,2,14,0,0,14,12947,"SP",24
"JUPIA",7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,7,7,7,7,7,7,7,1,0,0,7,2127,"SC",24
"JURANDA",1,2,2,3,2,2,2,0,1,3,2,1,1,1,1,1,2,1,2,1,2,2,0,2,0,1,4,7650,"PR",24
"LARANJAL PAULISTA",3,10,16,10,17,6,3,3,19,10,19,0,17,3,3,3,4,10,10,3,3,17,3,16,0,0,17,27890,"SP",24
"LORENA",1,13,15,13,13,1,1,1,13,13,9,0,14,10,2,10,3,1,1,1,1,13,1,9,0,0,13,87980,"SP",24
"MAGDA",9,10,10,10,10,9,9,9,9,10,9,0,10,9,9,9,9,10,10,9,9,10,9,9,0,0,10,3185,"SP",24
"MARCELANDIA",3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,10422,"MT",24
"MARINOPOLIS",2,4,4,4,6,1,1,2,6,4,6,1,5,1,0,1,1,3,3,1,1,6,1,6,0,0,6,2140,"SP",24
"NHANDEARA",8,5,10,4,10,6,8,7,10,4,9,0,9,7,7,9,1,8,8,6,6,10,7,14,0,0,10,11398,"SP",24
"NOVA LUZITANIA",9,3,9,3,8,7,8,9,9,3,9,0,8,9,9,9,2,8,8,8,8,8,8,9,0,0,8,3953,"SP",24
"OURO",2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,7363,"SC",24
"PARAISO",2,2,8,8,2,3,3,2,3,1,2,1,2,1,0,0,2,2,2,2,2,2,3,1,0,1,2,6369,"SP",24
"PEIXOTO DE AZEVEDO",4,4,6,4,4,4,0,4,4,4,6,4,4,4,4,4,4,6,4,6,4,4,0,4,0,4,4,33630,"MT",24
"PIRAPORA",20,16,20,14,14,18,18,20,12,9,12,0,8,12,10,0,14,18,6,14,18,18,14,16,0,4,14,56706,"MG",24
"PRESIDENTE CASTELO BRANCO",5,5,5,5,5,0,5,5,5,5,5,2,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5227,"PR",24
"QUERENCIA",1,1,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,0,1,0,1,1,16512,"MT",24
"RIQUEZA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,4670,"SC",24
"SALTINHO",2,11,11,11,5,2,2,2,12,11,5,2,2,2,1,0,2,2,2,2,2,5,2,5,0,0,11,8019,"SP",24
"SANTA CARMEM",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,4360,"MT",24
"SANTANA DA PONTE PENSA",3,6,10,6,10,2,4,3,10,5,10,0,10,1,1,1,2,7,7,2,2,10,2,10,0,0,10,1555,"SP",24
"SANTIAGO DO SUL",10,11,13,11,11,10,0,11,11,11,13,9,11,11,11,9,11,11,11,11,11,11,0,11,0,9,11,1317,"SC",24
"SAO JOAQUIM",1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,1,26646,"SC",24
"SAO SEBASTIAO DO RIO VERDE",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2249,"MG",24
"SERRA ALTA",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,3301,"SC",24
"SINOP",18,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,18,0,18,18,135874,"MT",24
"SUD MENNUCCI",2,8,13,8,14,2,2,2,11,7,11,0,14,2,2,2,2,8,8,2,2,14,2,14,0,0,14,7733,"SP",24
"TAIO",4,2,2,1,1,2,2,4,2,2,2,3,2,4,4,0,1,1,1,1,1,1,2,2,0,0,1,18261,"SC",24
"TORRE DE PEDRA",1,5,5,5,6,2,2,2,6,5,6,0,6,2,2,1,3,5,5,2,2,6,2,6,0,0,6,2395,"SP",24
"TRES BARRAS",2,2,2,2,2,1,2,1,2,3,0,1,2,1,2,0,2,1,2,1,1,2,1,2,0,1,2,19146,"SC",24
"TURMALINA",2,5,10,6,12,2,2,2,8,5,8,1,12,2,2,3,0,8,8,2,2,12,2,12,0,0,12,19762,"MG",24
"UBERABA",57,66,87,66,62,57,57,57,79,59,51,0,51,4,3,0,57,57,4,57,57,60,8,83,1,0,66,328272,"MG",24
"URUPEMA",8,5,5,5,5,8,8,8,5,5,5,5,5,5,0,1,5,5,5,5,5,5,8,3,0,0,5,2487,"SC",24
"VALENTIM GENTIL",2,3,3,3,3,2,2,2,3,3,3,0,3,2,2,2,2,3,3,2,2,3,2,3,0,0,3,12800,"SP",24
"XAMBIOA",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11683,"TO",24
"AGUA DOCE",4,2,1,2,2,4,4,4,2,2,2,2,2,1,0,0,2,2,2,2,2,2,4,2,0,0,2,7154,"SC",23
"AGUIA BRANCA",6,6,6,6,6,6,6,6,6,5,3,0,3,1,0,1,6,6,1,6,1,6,1,5,0,0,6,10085,"ES",23
"ARAQUARI",7,6,8,8,5,5,5,7,1,4,5,6,4,6,0,0,8,5,5,5,5,5,5,4,0,0,8,35268,"SC",23
"ARMAZEM",8,4,4,4,4,8,8,8,4,4,4,4,4,4,0,0,4,4,4,4,4,4,8,5,0,0,4,8520,"SC",23
"BALNEARIO PICARRAS",8,4,4,4,4,8,4,8,1,0,4,4,1,6,0,0,4,4,4,4,4,4,4,5,1,0,4,21884,"SC",23
"BANDEIRANTE",2,1,1,1,1,3,3,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,3,1,0,0,1,2751,"SC",23
"BARBOSA",3,9,9,8,8,2,2,3,9,9,3,0,3,1,0,0,8,8,2,2,2,3,3,8,0,1,2,7251,"SP",23
"BOA VENTURA DE SAO ROQUE",8,8,8,8,8,0,8,8,8,8,8,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,8,6665,"PR",23
"BOCAINA DO SUL",4,2,3,3,3,4,4,4,2,2,2,3,2,3,0,0,3,3,3,3,3,3,4,1,0,0,3,3456,"SC",23
"BRACO DO NORTE",6,3,3,3,3,6,6,6,3,3,3,3,3,3,0,0,3,3,3,3,3,3,6,3,0,0,3,32648,"SC",23
"BROTAS",6,8,8,8,8,5,8,6,8,8,8,0,8,0,2,0,8,6,8,8,6,4,6,8,0,4,8,23858,"SP",23
"BURITIZEIRO",5,3,5,4,2,4,3,5,4,4,4,0,2,5,0,0,2,5,4,2,4,5,2,4,0,1,2,28335,"MG",23
"CAMBUI",6,6,6,6,6,6,6,6,6,6,6,0,6,5,6,0,6,6,6,6,6,6,6,6,0,0,6,29165,"MG",23
"CAMPO ERE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,8787,"SC",23
"CATANDUVA",5,5,5,5,6,5,5,5,5,5,5,0,5,0,5,0,5,5,5,5,5,5,5,5,0,5,5,120691,"SP",23
"CATANDUVAS",2,1,1,1,1,2,2,2,1,1,1,2,1,1,0,0,1,1,1,1,1,1,2,2,0,0,1,10451,"PR",23
"CATIGUA",6,4,9,4,7,5,5,3,7,4,7,0,9,6,6,5,0,6,5,6,5,9,6,9,0,0,7,7700,"SP",23
"COCAL DO SUL",2,2,4,1,1,3,2,4,1,1,1,2,1,1,4,1,1,0,1,1,1,0,2,5,0,1,0,16446,"SC",23
"CUNHA PORA",2,1,1,1,1,2,2,2,1,1,1,2,1,1,0,0,1,1,1,1,2,1,2,1,0,0,1,11057,"SC",23
"CURITIBANOS",18,17,14,17,17,18,18,18,17,17,17,14,17,13,0,0,17,17,14,17,17,17,18,6,0,0,17,39566,"SC",23
"GENERAL SALGADO",5,4,16,4,16,4,4,4,15,4,15,0,16,4,5,6,0,8,9,4,4,14,4,14,0,0,8,10951,"SP",23
"GUZOLANDIA",1,2,4,3,5,1,1,1,5,2,5,0,5,1,1,1,0,2,2,1,1,3,1,3,0,0,5,5179,"SP",23
"IBICARE",2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,3,1,0,0,1,3268,"SC",23
"IMBUIA",4,2,2,2,2,4,4,4,2,2,2,2,2,2,0,0,2,2,2,2,2,2,4,2,0,0,2,6133,"SC",23
"JAPURA",3,3,2,0,7,7,6,3,2,3,3,0,6,7,6,0,2,6,7,7,4,11,7,3,0,6,7,4205,"AM",23
"JARDIM OLINDA",2,2,1,1,2,0,2,1,1,2,2,0,1,1,1,1,2,2,1,0,1,2,1,1,0,2,2,1396,"PR",23
"JUNDIAI",3,4,4,4,3,1,2,3,2,4,3,0,3,0,1,0,3,1,2,2,2,3,1,2,0,1,3,409497,"SP",23
"LEOBERTO LEAL",2,1,1,1,1,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,0,0,1,3140,"SC",23
"MARUMBI",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,4765,"PR",23
"MIMOSO DO SUL",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,27388,"ES",23
"MOEMA",19,17,19,3,3,17,18,19,3,6,3,1,5,3,0,0,2,18,4,3,18,18,1,16,0,0,3,7525,"MG",23
"MONDAI",7,5,5,5,5,6,7,7,5,5,5,5,5,5,0,0,4,5,4,5,5,5,6,2,0,0,5,11496,"SC",23
"MORRO AGUDO",2,2,7,2,2,2,2,2,7,2,2,0,2,0,1,0,2,2,2,2,2,2,2,3,0,2,2,32220,"SP",23
"PALMEIRA",6,3,3,3,3,6,6,6,3,3,3,3,3,3,0,0,3,3,3,3,3,3,6,1,0,0,3,34023,"PR",23
"PAULICEIA",2,6,6,6,4,2,1,2,4,6,4,0,4,2,2,2,4,4,1,1,2,0,2,4,0,0,1,7147,"SP",23
"PINDAMONHANGABA",3,1,3,1,6,2,2,3,5,1,6,0,5,3,3,3,0,5,5,2,2,6,1,3,0,0,6,164000,"SP",23
"PONTE ALTA",6,3,3,3,3,6,6,5,3,3,3,3,3,2,0,0,3,3,3,3,3,3,5,2,0,0,3,4767,"SC",23
"POUSO REDONDO",2,1,2,1,1,2,2,2,1,1,1,1,1,0,2,0,1,1,1,1,1,2,2,1,0,0,1,16957,"SC",23
"RIO DAS ANTAS",12,9,9,9,8,12,10,12,9,9,9,9,9,10,0,0,9,9,9,9,8,7,9,3,0,0,7,6246,"SC",23
"ROMELANDIA",2,1,1,1,1,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,0,0,2,5022,"SC",23
"SALETE",2,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,0,0,1,7634,"SC",23
"SANTA ADELIA",58,58,58,58,58,58,58,58,58,58,58,0,58,0,2,0,58,58,58,58,58,58,58,58,0,57,58,15331,"SP",23
"SANTA CECILIA",2,1,2,1,1,2,2,2,2,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,0,0,1,6557,"PB",23
"SANTA ISABEL",6,6,6,6,6,6,6,6,6,6,6,0,6,0,2,0,6,6,6,6,6,4,6,6,0,4,6,56014,"SP",23
"SAO JOAO DO ITAPERIU",9,5,8,5,6,9,8,9,2,0,7,6,2,6,0,0,6,8,5,8,8,6,5,3,0,1,6,3690,"SC",23
"SAO JOSE DOS CAMPOS",3,74,144,74,151,1,4,1,161,74,156,0,154,1,2,0,16,76,77,2,2,151,4,146,0,0,153,703219,"SP",23
"SUZANAPOLIS",6,7,13,7,7,6,6,6,6,7,6,6,0,6,6,6,0,6,0,6,6,7,6,13,0,6,7,3836,"SP",23
"TAIUVA",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5603,"SP",23
"TREZE TILIAS",5,4,4,4,4,5,5,5,4,4,4,4,4,4,0,0,4,4,4,4,4,4,5,1,0,0,4,7545,"SC",23
"VIDEIRA",2,1,1,1,1,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,0,0,1,52066,"SC",23
"ANITA GARIBALDI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,7537,"SC",22
"BOM JESUS DO OESTE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,2151,"SC",22
"CACADOR",4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,0,0,0,4,77323,"SC",22
"CACONDE",14,16,16,12,10,14,14,14,6,6,4,0,4,6,0,0,10,14,4,10,14,14,10,14,0,0,12,19025,"SP",22
"CAJURU",0,2,4,2,3,1,1,0,4,2,3,0,3,1,1,0,1,1,1,1,1,3,2,2,1,0,3,25655,"SP",22
"CERQUILHO",3,7,7,7,4,2,3,2,7,7,4,0,4,0,2,0,4,3,4,3,2,2,2,3,0,0,7,46733,"SP",22
"CERRO NEGRO",3,2,2,2,2,3,3,3,2,2,2,2,2,2,0,0,2,2,2,2,2,2,1,0,0,0,2,3254,"SC",22
"CHAPADAO DO LAGEADO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,0,0,0,1,2953,"SC",22
"COLIDER",6,3,6,3,3,6,6,6,3,3,3,0,3,3,0,0,3,3,3,3,3,3,3,1,0,0,3,32298,"MT",22
"CORREIA PINTO",4,2,2,2,2,4,4,4,2,2,1,2,2,2,0,0,2,2,2,2,2,2,4,0,0,0,2,13358,"SC",22
"DUAS BARRAS",5,2,5,2,2,5,5,4,2,2,2,0,2,0,0,0,2,2,2,2,2,2,1,2,0,2,2,11169,"RJ",22
"FRANCO DA ROCHA",2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,2,2,0,2,2,149502,"SP",22
"GAROPABA",2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,0,0,2,22082,"SC",22
"GUARARAPES",1,2,2,2,2,1,1,1,2,2,0,0,1,1,1,1,0,1,1,1,1,2,1,3,0,0,2,32654,"SP",22
"IARAS",1,2,4,1,3,1,1,1,4,2,4,0,4,1,1,1,0,2,2,1,1,3,0,2,0,0,3,8484,"SP",22
"IBIAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1967,"SC",22
"INDAIAL",6,3,3,3,3,6,3,6,1,0,3,3,1,3,0,0,3,3,3,3,3,3,3,4,0,0,3,66497,"SC",22
"IPUA",1,9,9,9,1,1,1,1,9,9,9,0,1,0,0,0,1,1,1,1,1,1,1,9,0,1,1,15932,"SP",22
"IRANI",2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,1,2,2,2,2,0,0,0,2,10285,"SC",22
"ITA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,6275,"SC",22
"ITAPORANGA",4,13,28,13,30,2,2,1,30,13,30,0,33,1,1,1,0,13,14,1,0,32,3,33,0,0,32,24842,"PB",22
"JAU",0,12,12,12,4,4,3,3,8,12,1,0,3,9,1,0,4,4,12,3,9,4,3,8,0,0,12,146338,"SP",22
"JUARA",2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,33851,"MT",22
"LEBON REGIS",8,7,7,7,7,8,8,8,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,0,0,0,7,12133,"SC",22
"MACIEIRA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,0,0,0,3,1799,"SC",22
"MAIRINQUE",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,46567,"SP",22
"MATOS COSTA",2,3,3,3,2,2,2,2,2,3,2,3,3,2,0,0,3,2,3,3,3,3,2,0,0,0,2,2614,"SC",22
"MERIDIANO",1,10,12,10,12,1,1,0,12,10,12,0,12,3,0,3,3,3,5,1,1,12,1,12,0,0,11,3892,"SP",22
"MORRO GRANDE",8,8,8,8,7,8,8,8,8,8,8,0,8,0,1,0,8,8,7,8,7,8,7,8,0,0,8,2915,"SC",22
"NEVES PAULISTA",13,13,13,13,13,13,13,13,13,0,13,0,13,13,13,13,13,13,13,13,13,0,13,13,0,0,13,8999,"SP",22
"NOVA CANAA DO NORTE",4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,0,4,4,4,4,4,4,4,1,0,0,4,12388,"MT",22
"PARATY",2,6,4,5,5,2,2,2,6,6,6,0,6,2,0,0,6,2,2,2,2,6,2,6,0,0,6,41454,"RJ",22
"PESCARIA BRAVA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,9980,"SC",22
"PONTE ALTA DO NORTE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,3413,"SC",22
"SALMOURAO",1,0,5,0,1,1,1,1,1,0,1,1,1,2,3,3,0,2,1,3,3,1,2,4,0,1,1,5222,"SP",22
"SANTA MARIA DE JETIBA",13,13,13,13,13,13,13,13,13,13,6,0,10,3,1,4,13,13,0,13,0,13,1,12,0,0,13,39928,"ES",22
"SAO CARLOS",0,5,6,5,5,0,0,4,5,4,4,0,2,5,6,1,5,5,5,1,5,5,1,5,0,1,4,246088,"SP",22
"SAO JOAO BATISTA DO GLORIA",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,7431,"MG",22
