"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"TAVARES",3,4,3,2,4,3,3,2,4,2,2,2,4,5,4,3,2,4,4,6,6,2,4,4,0,4,2,14661,"PB",26
"TUNAPOLIS",12,12,13,12,12,12,5,12,7,12,12,6,12,12,6,8,12,12,12,12,12,12,5,13,0,6,12,4597,"SC",26
"TURIUBA",3,9,9,9,7,3,3,3,9,9,10,2,7,3,3,3,3,3,3,3,3,7,3,7,0,1,7,2016,"SP",26
"VALINHOS",7,14,14,13,11,5,6,7,12,12,9,0,9,4,4,1,11,4,7,4,10,11,3,8,1,1,12,124024,"SP",26
"VARGEM GRANDE DO SUL",6,17,17,16,7,5,6,6,16,17,6,3,7,8,3,3,7,6,11,5,10,6,6,14,0,3,11,42310,"SP",26
"VICENTINA",1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,0,1,2,6041,"MS",26
"ADOLFO",2,5,7,5,7,1,2,2,7,2,4,0,7,3,1,2,1,2,1,2,2,7,2,7,0,1,7,3609,"SP",25
"AGUAS FRIAS",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2387,"SC",25
"ARANDU",2,2,4,2,5,2,2,2,5,3,5,0,4,3,2,3,1,3,3,1,1,4,2,5,0,1,5,6368,"SP",25
"BARRA DO GARCAS",6,6,1,1,1,1,0,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,0,6,1,6,1,58974,"MT",25
"BLUMENAU",2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,0,1,1,1,1,1,2,2,1,0,3,2,348513,"SC",25
"BOFETE",8,15,24,16,24,6,6,7,26,17,27,1,23,6,6,5,6,16,15,6,6,25,7,25,0,0,24,11236,"SP",25
"BOM SUCESSO",10,8,14,8,8,8,7,6,8,8,8,0,8,8,8,12,8,8,8,8,8,8,8,14,0,1,8,4972,"PB",25
"CANOINHAS",5,4,4,4,4,5,5,5,4,4,4,4,4,4,1,1,4,4,4,4,4,4,5,1,0,0,4,54403,"SC",25
"CASIMIRO DE ABREU",2,1,3,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,41999,"RJ",25
"CORONEL MARTINS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,0,0,2,2548,"SC",25
"FORQUILHINHA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,2,25988,"SC",25
"GUATAMBU",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,2,4733,"SC",25
"GUIA LOPES DA LAGUNA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,9991,"MS",25
"IMBITUVA",10,12,5,3,11,12,10,10,3,13,13,0,3,10,10,10,13,13,12,13,13,11,10,13,0,3,13,31719,"PR",25
"IPORA DO OESTE",7,5,5,5,5,7,7,7,5,5,5,4,5,4,2,1,5,5,5,5,5,5,7,5,0,0,5,8930,"SC",25
"IPUACU",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,0,0,4,7400,"SC",25
"ITAPEMIRIM",31,31,31,31,31,31,31,31,31,11,21,0,23,22,1,1,31,31,21,30,21,10,22,31,1,0,31,34628,"ES",25
"ITAPETININGA",0,26,36,26,40,2,1,3,34,26,37,0,40,1,2,1,1,21,23,2,2,40,3,42,1,1,40,160070,"SP",25
"ITAPOA",7,9,9,9,9,5,5,5,9,9,7,5,7,5,5,0,9,7,5,5,5,5,5,9,0,5,9,19355,"SC",25
"ITAUNA",56,95,98,96,55,59,56,60,72,72,30,0,30,32,32,33,57,57,32,55,56,28,56,100,2,0,55,92696,"MG",25
"ITOBI",4,2,6,1,3,2,2,2,3,1,2,1,3,2,2,2,1,3,2,1,2,3,2,2,0,0,3,7853,"SP",25
"JACAREI",7,4,10,6,4,7,7,8,4,4,4,1,5,0,3,4,7,5,4,5,7,4,8,7,0,9,5,229851,"SP",25
"JACINTO MACHADO",3,6,5,6,6,3,3,3,2,5,6,3,6,2,2,0,6,6,6,6,6,6,3,6,0,2,6,10539,"SC",25
"JAGUARUNA",1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1,0,1,1,19527,"SC",25
"JARDIM",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,27076,"CE",25
"JARDINOPOLIS",7,7,7,7,7,7,7,7,7,7,6,4,7,6,3,4,7,7,7,7,7,4,7,5,0,0,7,42904,"SP",25
"LAGES",3,2,6,2,2,4,1,5,2,2,4,2,2,2,2,2,2,4,2,2,2,2,0,3,0,2,2,158508,"SC",25
