"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"CASCAVEL",6,4,4,4,4,5,5,5,4,4,4,5,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,71079,"CE",27
"CASIMIRO DE ABREU",2,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,41999,"RJ",27
"CASSIA DOS COQUEIROS",6,2,6,2,3,6,6,6,4,2,3,6,3,6,6,5,2,3,3,3,3,3,6,4,6,6,3,2591,"SP",27
"CASTILHO",44,51,51,51,51,44,44,44,50,50,44,44,43,44,44,42,44,44,44,44,44,51,43,51,44,44,51,20362,"SP",27
"CATANDUVA",5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120691,"SP",27
"CATANDUVAS",2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,10451,"PR",27
"CATIGUA",10,4,10,4,7,7,7,7,7,4,7,9,9,10,10,9,4,8,7,8,7,9,10,9,10,10,8,7700,"SP",27
"CERQUEIRA CESAR",25,24,25,19,24,25,25,25,25,24,21,26,25,24,25,26,19,26,24,25,26,26,25,25,26,25,24,19495,"SP",27
"CERQUILHO",7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7,5,7,46733,"SP",27
"CERRO AZUL",4,2,2,2,2,4,4,4,2,2,2,4,2,4,4,4,2,2,2,2,2,2,4,2,4,4,2,17885,"PR",27
"CERRO NEGRO",3,2,3,2,2,3,3,3,2,2,2,3,2,3,3,3,2,2,3,2,2,2,1,3,3,3,2,3254,"SC",27
"CESARIO LANGE",21,15,29,13,28,21,21,21,26,15,26,20,28,21,21,22,13,21,21,21,21,28,21,28,28,21,28,17587,"SP",27
"CHAPADAO DO CEU",11,11,11,11,11,11,11,8,11,11,11,8,11,8,11,10,11,11,10,11,11,11,11,11,11,8,11,9110,"GO",27
"CHAPADAO DO LAGEADO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2953,"SC",27
"CHAPADAO DO SUL",7,4,6,4,6,7,5,7,4,4,4,5,5,7,6,7,6,5,6,7,5,6,5,6,7,7,4,23940,"MS",27
