ibgeCode,Atrazina,Diuron,Glifosato + AMPA,Mancozebe,Profenofós,Metolacloro,Simazina,Alaclor,Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido,Carbendazim + benomil,Carbofurano,Clordano,Clorpirifós + clorpirifós-oxon,DDT + DDD + DDE,"Endossulfan (a, ß e sais)",Lindano (gama HCH),Metamidofós,Molinato,Parationa Metílica,Pendimentalina,Permetrina,Terbufós,Trifluralina,"2,4 D + 2,4,5 T",Aldrin + Dieldrin,Endrin,Tebuconazol,Population,UF,name
171515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353,TO,Novo Alegre
171525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2697,TO,Novo Jardim
171550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,TO,Oliveira de Fátima
171570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5859,TO,Palmeirante
171575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7687,TO,Palmeirópolis
171610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50360,TO,Paraíso do Tocantins
171620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10562,TO,Paranã
171630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4853,TO,Pau D'Arco
171650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13288,TO,Pedro Afonso
171660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11591,TO,Peixe
171665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5453,TO,Pequizeiro
171670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8409,TO,Colméia
171700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520,TO,Pindorama do Tocantins
171720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044,TO,Piraquê
171750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7536,TO,Pium
171780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4645,TO,Ponte Alta do Bom Jesus
171790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7949,TO,Ponte Alta do Tocantins
171800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102,TO,Porto Alegre do Tocantins
171820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52828,TO,Porto Nacional
