"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF","name"
251230,0,0,0,0,0,0,0,1,1,1,23489,"PB","Princesa Isabel"
251250,0,0,0,0,0,0,0,1,1,1,44214,"PB","Queimadas"
251270,0,0,0,0,0,0,0,1,1,1,19579,"PB","Remígio"
251280,0,0,0,0,0,0,0,1,1,1,8609,"PB","Riacho dos Cavalos"
251290,0,0,0,0,0,0,0,1,1,1,24154,"PB","Rio Tinto"
251320,0,0,0,0,0,0,0,1,1,1,6585,"PB","Santa Cruz"
251330,0,0,0,0,0,0,0,1,1,1,5887,"PB","Santa Helena"
251360,0,0,0,0,0,0,0,1,1,1,7024,"PB","Santana dos Garrotes"
251370,0,0,0,0,0,0,0,1,1,1,136851,"PB","Santa Rita"
251392,0,0,0,0,0,0,0,1,1,1,4540,"PB","São Bentinho"
251394,0,0,0,0,0,0,0,1,1,1,2601,"PB","São Domingos do Cariri"
251420,0,0,0,0,0,0,0,1,1,1,7679,"PB","São José da Lagoa Tapada"
251430,0,0,0,0,0,0,0,1,1,1,6279,"PB","São José de Caiana"
251450,0,0,0,0,0,0,0,1,1,1,20163,"PB","São José de Piranhas"
251480,0,0,0,0,0,0,0,1,1,1,3711,"PB","São José dos Cordeiros"
251490,0,0,0,0,0,0,0,1,1,1,7721,"PB","São Mamede"
251530,0,0,0,0,0,0,0,1,1,1,52697,"PB","Sapé"
251570,0,0,0,0,0,0,0,1,1,1,3100,"PB","Serra Grande"
251590,0,0,0,0,0,0,0,1,1,1,6093,"PB","Serraria"
251600,0,0,0,0,0,0,0,1,1,1,26376,"PB","Solânea"
251620,0,0,0,0,0,0,0,1,1,1,69554,"PB","Sousa"
251630,0,0,0,0,0,0,0,1,1,1,16957,"PB","Sumé"
251650,0,0,0,0,0,0,0,1,1,1,15276,"PB","Taperoá"
251660,0,0,0,0,0,0,0,1,1,1,14661,"PB","Tavares"
251670,0,0,0,0,0,0,0,1,1,1,15191,"PB","Teixeira"
251690,0,0,0,0,0,0,0,1,1,1,15382,"PB","Uiraúna"
251700,0,0,0,0,0,0,0,1,1,1,9913,"PB","Umbuzeiro"
270820,0,0,0,0,0,0,0,1,1,1,7058,"AL","São Brás"
280067,0,0,1,0,0,0,0,0,1,1,26961,"SE","Boquim"
280290,0,0,0,0,0,0,0,1,1,1,95196,"SE","Itabaiana"
280320,0,0,0,0,0,0,0,1,1,1,34101,"SE","Itaporanga d'Ajuda"
280330,0,0,1,0,0,0,0,0,1,1,18656,"SE","Japaratuba"
280350,0,0,1,0,0,0,0,0,1,1,104099,"SE","Lagarto"
280430,0,0,1,0,0,0,0,0,1,1,7683,"SE","Muribeca"
